id,face_detected_ratio,gaze_ratio_mean,gaze_deviation_mean,gaze_stability_std,smile_score_mean,smile_score_std,frown_score_mean,frown_score_std,eye_openness_mean,eye_openness_std,jaw_open_mean,jaw_open_std,brow_raise_mean,brow_raise_std,mouth_frown_mean,mouth_frown_std,emotion_happy_mean,emotion_sad_mean,emotion_angry_mean,emotion_surprise_mean,emotion_fear_mean,emotion_disgust_mean,emotion_neutral_mean
0001,1.0,0.5259281626346135,0.02821083486828747,0.016503204820425815,0.45887441840287385,0.25219741502022963,0.0013334394271541069,0.001154940649545297,0.7671516596720639,0.17557922610784069,0.015858630677526395,0.02211229048848542,0.39942656321959064,0.1047675455437204,0.0017325413910860086,0.004994546144234892,0.3860009004103384,0.15330118908608165,0.007711355055406602,0.14790251888571818,0.10318662674736996,0.061468603226432876,0.14042880658865228
0002,1.0,0.5429302059720541,0.04689987394709242,0.021770346322995127,0.07552488539367914,0.07107050367255033,0.0002628619894797642,0.0002407655605056108,0.8615860615236064,0.17223932910050738,0.034391613777067204,0.04218708429980181,0.6319682240486145,0.10531220999221283,0.004894857167770775,0.007879305849081997,0.06917784016596899,0.2645786940134911,0.006462324760779984,0.25736311409393337,0.20839859113344594,0.03372041057743449,0.16029902525494613
0003,1.0,0.5460248085491509,0.04602480854915097,0.008398923254104277,0.043277860751748616,0.09364619150184096,0.00634124779952055,0.005868974189475384,0.8945246641947464,0.0362995418740937,0.01951641280108809,0.020919916345808108,0.3359677903354168,0.11031131427979038,0.00036867657083596646,0.0005416405424944367,0.04314626267316327,0.0315194115864973,0.016210757472496503,0.14208821462234483,0.026296514465601918,0.017806778767641324,0.7229320604122549
0004,1.0,0.5419862506476967,0.04242314966206735,0.01482867123405509,0.0004185412169022129,0.0018466207812568374,0.012284984346570127,0.06600742884213294,0.9201641352847219,0.07150062512845175,0.0017454015061957762,0.0011869226356982932,0.4705372685100883,0.16581940231318304,0.010574782307867282,0.02472323662694513,0.0004183945659291811,0.18898396093056363,0.007895212398195604,0.19391047488563345,0.1453314266542725,0.003833982170786393,0.45962654839461925
0005,1.0,0.5468828720441883,0.04815297398054914,0.017563630179559166,0.04336919962274963,0.06531148318188675,0.026583190222575874,0.036279103450196214,0.8756884479782833,0.12878265944847472,0.029904161040984287,0.0533279046297317,0.10267129107699569,0.07068481323197545,0.0009187632169320343,0.0025850818092535478,0.0431095514538303,0.10643172639465774,0.023732586803140047,0.054067304275893804,0.06544864723889923,0.03912312031801253,0.6680870635155663
0006,1.0,0.5483204387931416,0.04876572463518033,0.018922227074541595,0.006077237567994113,0.026201994015132405,0.013723237188726974,0.013613052967962277,0.8378576098320385,0.14402771385555022,0.016636848809866933,0.057598698090512095,0.24526004791259765,0.12058949868651062,0.007827149272755681,0.01050650258912912,0.006060837806909049,0.06713955001570866,0.0076511429299573296,0.10664149119758805,0.05165000567770524,0.02591585634720138,0.7349411160249303
0007,1.0,0.540394467448923,0.040394467448923006,0.0070618310154921165,0.3528347184841076,0.2439115909445229,0.004043825072743778,0.004093482265151499,0.9208010515481557,0.10443026223831357,0.002974906575020767,0.0029041533148525763,0.2910121689024179,0.14031423230197537,0.0015578388608011428,0.0037907870290144544,0.3173314803883586,0.14663333807126264,0.012634385296651616,0.11266618432702882,0.12161465600972819,0.041411039383045044,0.2477089165239251
0008,1.0,0.5477722791779183,0.04777227917791827,0.004566056754570884,0.375093293018066,0.15388632062203658,0.02059490280225873,0.005044318731734856,0.663193003489421,0.036740214312802194,1.5867300065180574e-05,5.551048653759759e-06,0.15078359784988257,0.035475152795136716,0.024912502956934847,0.012717643306515909,0.37509168986297436,0.05754724387297756,0.03898991129506069,0.061246583387541124,0.046653639790243825,0.05974919378569265,0.36072173800550994
0009,1.0,0.5732292499744227,0.07322924997442276,0.019708091084034284,0.12637830533288974,0.1690310279265297,0.00039380589021612684,0.0004600429322260888,0.84556430583049,0.10252303902378072,0.17757686346383958,0.11858886539707825,0.5994609568653435,0.10209767055179768,0.0013309667299420747,0.0026627776253075087,0.09851569337754341,0.2503003801007094,0.02503353569047579,0.27966573465391176,0.17530669844382088,0.010795707814321095,0.16038224991921773
0010,1.0,0.5295707323694382,0.02957073236943819,0.011898562276498372,0.19804978113993107,0.15096390708523133,0.006517489400441543,0.0032516895796274045,0.8822740793514711,0.09759563856841738,0.04199684853161811,0.05502755529441504,0.23264942031640273,0.046212416973998714,7.981553903846361e-05,0.0002253622782286214,0.1957162034024546,0.05721921721122341,0.01450972014437195,0.10845704288249883,0.030998668156994074,0.07597495524721569,0.5171241929552414
