id,face_detected_ratio,gaze_ratio_mean,gaze_deviation_mean,gaze_stability_std,smile_score_mean,smile_score_std,frown_score_mean,frown_score_std,eye_openness_mean,eye_openness_std,jaw_open_mean,jaw_open_std,brow_raise_mean,brow_raise_std,mouth_frown_mean,mouth_frown_std,emotion_happy_mean,emotion_sad_mean,emotion_angry_mean,emotion_surprise_mean,emotion_fear_mean,emotion_disgust_mean,emotion_neutral_mean,face_width_mean,face_height_mean,face_area_mean,face_center_x_mean,face_center_y_mean,EAR_mean,EAR_std,head_motion_std,pitch_mean,pitch_std,yaw_mean,yaw_std,roll_mean,roll_std
1,1.0,0.5259281626346135,0.0282108348682874,0.0165032048204258,0.4588744184028738,0.2521974150202296,0.0013334394271541,0.0011549406495452,0.7671516596720639,0.1755792261078406,0.0158586306775263,0.0221122904884854,0.3994265632195906,0.1047675455437204,0.001732541391086,0.0049945461442348,0.3860009004103384,0.1533011890860816,0.0077113550554066,0.1479025188857181,0.1031866267473699,0.0614686032264328,0.1404288065886522,213.91643437472257,246.0898086157712,52752.95815565931,344.27194378592753,278.8277102058584,0.294955866352954,0.0983453279222785,8.008589492678997,-12.977782466271094,4.468693408583492,-2.0602380520742254,3.195966184899133,-0.775706321466145,2.904071001399732
2,1.0,0.5429302059720541,0.0468998739470924,0.0217703463229951,0.0755248853936791,0.0710705036725503,0.0002628619894797,0.0002407655605056,0.8615860615236064,0.1722393291005073,0.0343916137770672,0.0421870842998018,0.6319682240486145,0.1053122099922128,0.0048948571677707,0.0078793058490819,0.0691778401659689,0.2645786940134911,0.0064623247607799,0.2573631140939333,0.2083985911334459,0.0337204105774344,0.1602990252549461,159.16197204589844,189.6901617050171,30204.302584928173,323.8494186401367,305.1642117500305,0.372335250893747,0.094386910412487,6.179175370037426,-6.442817016038356,3.60725566903272,1.0761243984594346,2.769734047095791,-6.338320061287518,3.0467311312113745
3,1.0,0.5460248085491509,0.0460248085491509,0.0083989232541042,0.0432778607517486,0.0936461915018409,0.0063412477995205,0.0058689741894753,0.8945246641947464,0.0362995418740937,0.019516412801088,0.0209199163458081,0.3359677903354168,0.1103113142797903,0.0003686765708359,0.0005416405424944,0.0431462626731632,0.0315194115864973,0.0162107574724965,0.1420882146223448,0.0262965144656019,0.0178067787676413,0.7229320604122549,213.92594424161044,274.10993164235896,58647.33402797802,361.5217625011097,262.9262108152563,0.3858146667626886,0.0283590070843411,15.923207282847285,2.5502762777072587,2.0501577163344904,-6.12452311208958,2.1530812998944464,2.190924284080079,2.193047881203088
4,1.0,0.5419862506476967,0.0424231496620673,0.014828671234055,0.0004185412169022,0.0018466207812568,0.0122849843465701,0.0660074288421329,0.920164135284722,0.0715006251284517,0.0017454015061957,0.0011869226356982,0.4705372685100883,0.165819402313183,0.0105747823078672,0.0247232366269451,0.0004183945659291,0.1889839609305636,0.0078952123981956,0.1939104748856334,0.1453314266542725,0.0038339821707863,0.4596265483946192,151.7071189880371,172.7197630405426,26221.553182249227,296.0887031555176,226.94215857982635,0.3890952609180797,0.0470188030317323,12.33487821618496,-9.680763397117524,5.410126912440809,-1.9703485851179043,4.52557437272286,5.035454961566785,13.224996922881878
5,1.0,0.5468828720441883,0.0481529739805491,0.0175636301795591,0.0433691996227496,0.0653114831818867,0.0265831902225758,0.0362791034501962,0.8756884479782833,0.1287826594484747,0.0299041610409842,0.0533279046297317,0.1026712910769956,0.0706848132319754,0.000918763216932,0.0025850818092535,0.0431095514538303,0.1064317263946577,0.02373258680314,0.0540673042758938,0.0654486472388992,0.0391231203180125,0.6680870635155663,133.47108676515776,152.03098445103086,20301.530172239203,321.7331937263752,192.7189451250537,0.3760271294049868,0.065716103952392,13.125938700495038,-11.526388881206042,4.618451808746174,-7.228291671009352,2.928527844779282,6.761659314164922,4.138177808711914
6,1.0,0.5483204387931416,0.0487657246351803,0.0189222270745415,0.0060772375679941,0.0262019940151324,0.0137232371887269,0.0136130529679622,0.8378576098320385,0.1440277138555502,0.0166368488098669,0.057598698090512,0.2452600479125976,0.1205894986865106,0.0078271492727556,0.0105065025891291,0.006060837806909,0.0671395500157086,0.0076511429299573,0.106641491197588,0.0516500056777052,0.0259158563472013,0.7349411160249303,145.84110323588052,166.6946816444397,24312.251125219154,327.8173303604126,315.2806804180145,0.326112388260325,0.0754690737914237,6.741104523619497,-13.723264464975752,3.494907616243234,-0.4068462477353195,2.898127858844549,2.732271363961449,4.8674990651431145
7,1.0,0.540394467448923,0.040394467448923,0.0070618310154921,0.3528347184841076,0.2439115909445229,0.0040438250727437,0.0040934822651514,0.9208010515481556,0.1044302622383135,0.0029749065750207,0.0029041533148525,0.2910121689024179,0.1403142323019753,0.0015578388608011,0.0037907870290144,0.3173314803883586,0.1466333380712626,0.0126343852966516,0.1126661843270288,0.1216146560097281,0.041411039383045,0.2477089165239251,201.1033547442892,235.21904717320984,47362.904747694425,311.3000015590502,236.8222104984781,0.4114782657918362,0.0666127463294392,5.542558406805584,0.536946628954915,3.563916638244188,-1.0711309287039534,1.5579672029085725,0.8187198675670989,1.8196913889009696
8,1.0,0.5477722791779183,0.0477722791779182,0.0045660567545708,0.375093293018066,0.1538863206220365,0.0205949028022587,0.0050443187317348,0.663193003489421,0.0367402143128021,1.5867300065180574e-05,5.551048653759759e-06,0.1507835978498825,0.0354751527951367,0.0249125029569348,0.0127176433065159,0.3750916898629743,0.0575472438729775,0.0389899112950606,0.0612465833875411,0.0466536397902438,0.0597491937856926,0.3607217380055099,285.55959261380707,228.40337826655465,65230.67580647412,340.2975757305439,190.36214425013617,0.1878702058970308,0.0126059666872843,7.046897841569919,4.625299870951844,1.8185958395265625,-1.938966211124066,0.2982987310119064,4.864029848146957,0.5491020753826542
9,1.0,0.5732292499744227,0.0732292499744227,0.0197080910840342,0.1263783053328897,0.1690310279265297,0.0003938058902161,0.000460042932226,0.84556430583049,0.1025230390237807,0.1775768634638395,0.1185888653970782,0.5994609568653435,0.1020976705517976,0.001330966729942,0.0026627776253075,0.0985156933775434,0.2503003801007094,0.0250335356904757,0.2796657346539117,0.1753066984438208,0.010795707814321,0.1603822499192177,168.30048002045731,217.6566849083736,36686.69011787233,308.15060253801016,306.2566637992859,0.3468520689712313,0.0613569978689876,7.374369249103934,-14.992440790745816,4.1796592470003855,-5.943098496780911,4.6863365441620335,1.323367429249716,3.0308086272423607
10,1.0,0.5295707323694382,0.0295707323694381,0.0118985622764983,0.198049781139931,0.1509639070852313,0.0065174894004415,0.0032516895796274,0.8822740793514711,0.0975956385684173,0.0419968485316181,0.055027555294415,0.2326494203164027,0.0462124169739987,7.981553903846361e-05,0.0002253622782286,0.1957162034024546,0.0572192172112234,0.0145097201443719,0.1084570428824988,0.030998668156994,0.0759749552472156,0.5171241929552414,206.46955270033612,250.1791862341074,51655.71051594931,301.0050498522245,297.2728866797227,0.3606361733285411,0.0514347376943753,4.145431698414976,-3.553946426094574,3.266784840677184,1.5533612956112302,1.2533380528238336,4.150718717319742,2.734522683161132
