id,face_width_mean,face_height_mean,face_area_mean,face_center_x_mean,face_center_y_mean,EAR_mean,EAR_std,head_motion_std,pitch_mean,pitch_std,yaw_mean,yaw_std,roll_mean,roll_std
0001,213.91643437472257,246.0898086157712,52752.95815565931,344.27194378592753,278.8277102058584,0.29495586635295407,0.09834532792227856,8.008589492678997,-12.977782466271094,4.468693408583492,-2.0602380520742254,3.195966184899133,-0.775706321466145,2.904071001399732
0002,159.16197204589844,189.6901617050171,30204.302584928173,323.8494186401367,305.1642117500305,0.372335250893747,0.09438691041248709,6.179175370037426,-6.442817016038356,3.6072556690327198,1.0761243984594346,2.769734047095791,-6.338320061287518,3.0467311312113745
0003,213.92594424161044,274.10993164235896,58647.33402797802,361.5217625011097,262.9262108152563,0.38581466676268866,0.028359007084341154,15.923207282847285,2.5502762777072587,2.0501577163344904,-6.12452311208958,2.1530812998944464,2.190924284080079,2.1930478812030874
0004,151.7071189880371,172.7197630405426,26221.553182249227,296.0887031555176,226.94215857982635,0.3890952609180797,0.04701880303173232,12.33487821618496,-9.680763397117525,5.410126912440809,-1.9703485851179043,4.52557437272286,5.035454961566785,13.224996922881878
0005,133.47108676515776,152.03098445103086,20301.530172239203,321.7331937263752,192.71894512505366,0.37602712940498684,0.065716103952392,13.125938700495038,-11.526388881206042,4.618451808746174,-7.2282916710093525,2.928527844779282,6.761659314164922,4.138177808711914
0006,145.84110323588052,166.6946816444397,24312.251125219154,327.8173303604126,315.2806804180145,0.326112388260325,0.07546907379142376,6.741104523619497,-13.723264464975752,3.4949076162432346,-0.4068462477353195,2.898127858844549,2.732271363961449,4.8674990651431145
0007,201.10335474428922,235.21904717320982,47362.904747694425,311.3000015590502,236.8222104984781,0.4114782657918362,0.06661274632943928,5.5425584068055835,0.536946628954915,3.563916638244188,-1.0711309287039534,1.5579672029085723,0.8187198675670989,1.8196913889009698
0008,285.55959261380707,228.40337826655463,65230.67580647412,340.2975757305439,190.36214425013617,0.18787020589703088,0.01260596668728438,7.046897841569919,4.625299870951844,1.8185958395265625,-1.938966211124066,0.2982987310119064,4.864029848146957,0.5491020753826542
0009,168.30048002045731,217.6566849083736,36686.69011787233,308.15060253801016,306.2566637992859,0.3468520689712313,0.06135699786898763,7.374369249103934,-14.992440790745817,4.1796592470003855,-5.943098496780911,4.6863365441620335,1.323367429249716,3.0308086272423607
0010,206.46955270033615,250.1791862341074,51655.71051594931,301.0050498522245,297.2728866797227,0.36063617332854114,0.051434737694375385,4.145431698414976,-3.553946426094574,3.2667848406771838,1.5533612956112302,1.2533380528238336,4.150718717319742,2.7345226831611322
0011,118.01208871309875,166.12807297315754,19621.040205866288,317.79176305552,209.09588028172976,0.4356368351416473,0.09379429823532624,4.930242719340425,-11.388091313273968,2.2879063235347084,2.810393740410948,2.233982444843093,5.934112112510674,3.414010449546183
0012,209.4525178273519,242.45598634084067,50784.1831711939,354.99570687611896,239.25388097763062,0.4249594501092052,0.0310923613156004,3.6243390361021888,7.761513176163037,2.3182785073600125,-5.471664750955223,0.4629242563945277,2.8551571150474535,0.9077645116930605
0013,145.84110323588052,166.6946816444397,24312.251125219154,327.8173303604126,315.2806804180145,0.326112388260325,0.07546907379142376,6.741104523619497,-13.723264464975752,3.4949076162432346,-0.4068462477353195,2.898127858844549,2.732271363961449,4.8674990651431145
0014,122.3239262898763,143.1281280517578,17508.083213069767,325.6484540303548,287.3637294769287,0.4356736783289985,0.042673144921938876,1.0966776280436212,8.34895405801118,0.8240203364576413,3.822937925661037,2.381445480504682,-2.554348260774093,0.44309650737653733
0015,164.22817587852478,135.14691442251205,22223.758368461018,336.4020138978958,271.1706854403019,0.2226964596532343,0.05516797620577483,10.188429611002054,-0.22344926147505406,8.716610478890981,-5.920590860662472,3.3445734670073266,6.306718247552539,4.259724818457591
0016,137.63751407839217,164.33122131059756,22623.625042846772,332.50961555624906,372.2796594871665,0.38685389214319804,0.09048385701064135,4.504086700245979,13.371041949616219,2.3955181822920855,4.946448173937221,1.7455543957747877,-1.8721745518532469,1.1618011993531108
0017,190.32623573585792,230.57387351989746,43905.21453768378,283.9839525575991,242.95901245541043,0.349988612840846,0.021687219088374742,11.955996999808862,6.844924597253777,1.7779577038864345,-4.794643760145869,1.582155396693059,2.113985157981686,1.4840804761520723
0018,156.42625914679633,195.12646516164145,30566.47606239903,334.8675203323364,259.86727317174274,0.42984829247837514,0.03361979536509232,10.71503806801287,-2.3446125871791335,4.251496824874669,-0.8267373353812527,2.0982896481190254,1.3029886523850198,1.510177362760454
