id,head_centering_score_mean,absolute_shoulder_slope_mean,shoulder_slope_var,shoulder_width_mean,shoulder_width_var,nose_shoulder_dist_mean,nose_shoulder_dist_var,hand_speed_mean,hand_to_face_touches,crossed_arms_score,core_speed_mean,posture_shift_count,engagement_score,agitation_score
0001,0.023563986515394552,0.08299026492183835,0.0007711225811279475,0.6220192995076904,0.0003371590548876109,0.3277690577479552,0.0006948006081428288,0.12231999605615952,0,1.0665640962417164,0.010709320998360437,44,6.201545402424129,44
0002,0.022595595036234175,0.044466480640853824,0.0001552612753801425,0.5042243591376714,0.00012729830407086725,0.3827751376799175,0.0002076675036798069,0.028472698374793444,0,0.9173176256396094,0.0037596027102199323,0,5.025166738626161,0
0003,0.03672677818163533,0.021764626466206017,0.00025320215399587384,0.6458112165053315,0.00021483993999095514,0.2968274719804247,0.0006034828661338742,0.06343530278363926,0,1.1221913023430878,0.010205861026697844,19,6.447529563771068,19
0004,0.02815582851568858,0.08085043990634168,0.002254150466635775,0.4688487466206684,0.0006608328136586617,0.3591205028025552,0.0007463473355151371,0.045045337416925346,2,0.9139632706210705,0.013707393927220599,71,4.674936325441072,73
0005,0.017639645836138806,0.02336199348448354,0.00039160412948290794,0.44728272890343385,7.333158961622898e-05,0.34590406576654903,0.00024404878698135415,0.02373451706829986,0,0.9466116751879889,0.004608565396550258,1,4.463483261337937,1
0006,0.015492487462069278,0.11055605140067433,0.00036960560541834914,0.472887967641537,7.261805385129345e-05,0.33928849695119573,7.698831406835507e-05,0.04243209823440968,0,0.8127538913466188,0.004290835709844852,0,4.721328684697691,0
0007,0.03919123007191552,0.048178507057091355,0.00017115505796528653,0.5867138800356123,0.00011039290402348133,0.4414207557837168,0.00029119506343434416,0.05081170099335554,0,1.130660682375961,0.00672690832444326,4,5.860400921016945,4
0008,0.027656394507615797,0.11576447312909253,0.0014525911051005808,0.6351046050267835,0.00036175952667692073,0.3423073380704849,0.0003499968650931718,0.12838637605515282,0,1.298109919060489,0.018055664898266443,42,6.329231781725878,42
0009,0.04255246783190585,0.043299262275987106,0.0009636356710517896,0.4523979090418376,0.0006048646136412601,0.37480899332262946,0.0007845274300140837,0.09163362170795099,0,0.8609913741456756,0.014115524330005895,57,4.512915318984639,57
0010,0.04680397070478648,0.06023197414120346,0.00011696927575277491,0.6452284306287766,6.71923984212619e-05,0.38071411405690014,0.0003743968760182513,0.02416952035935826,0,1.120465764571982,0.005345994327869049,0,6.446048323670604,0
0011,0.014492601501055,0.07587914719178769,0.0006869526372480172,0.44835157138256987,5.619456795836296e-05,0.4215218804099343,0.00019965163715170262,0.013822476983681626,0,0.9487376778039961,0.004518546102134011,2,4.4800348895470945,2
0012,0.07089395863188189,0.042699351432367826,0.0006417155497304698,0.6240409696842991,5.188166454790041e-05,0.32026455564013984,0.00023171338539819798,0.03469913689218752,0,1.2456887163403694,0.004908629762241415,1,6.237517336627431,1
0013,0.015492487462069278,0.11055605140067433,0.00036960560541834914,0.472887967641537,7.261805385129345e-05,0.33928849695119573,7.698831406835507e-05,0.04243209823440968,0,0.8127538913466188,0.004290835709844852,0,4.721328684697691,0
0014,0.040191471576690674,0.08149567109528609,0.00011507760003031092,0.3993658447265625,1.6375049951372487e-05,0.16477683544158936,2.6203531848403828e-05,0.0372322683914311,0,0.7399568165035763,0.004542973937747829,0,3.9928589603640137,0
0015,0.04547793365293933,0.05222648721322774,0.001707627523283855,0.45740862969429263,0.0007518489663316519,0.26736786577009386,0.0012234262971442653,0.12875593726976597,0,0.9010301876270181,0.014068901194526355,30,4.548313062086549,30
0016,0.037492150543310614,0.029703542975902247,0.0005023864471204942,0.4342753215351865,7.861624244164237e-05,0.09519643858216519,0.0003072669184889904,0.036574047114486856,0,0.798774274830152,0.007282568139073174,3,4.332572493592933,3
0017,0.03474167811459508,0.01735493395390048,0.00044024241666983723,0.5855051183152473,0.00018252130522806854,0.3438094331386902,0.00025203045100175844,0.02316231436829643,0,1.1189279586648366,0.00569930863083928,2,5.837545971228138,2
0018,0.017743816997619035,0.03963350052885067,0.000719690547435831,0.45800393156578084,0.00016032109404426708,0.36769070670094794,0.00020386549611031533,0.026645287095333113,0,0.8861476964312185,0.007399996585560482,4,4.574462977792447,4
0019,0.009588407119273192,0.09877999782296294,0.0007489878919749377,0.28814830066669533,4.665716939438247e-05,0.20103493498760475,0.0001157072200140941,0.01238167053049835,0,0.5846027860022315,0.004477454574274033,0,2.879723685404835,0
0020,0.005354180119254372,0.02810812607891704,0.00041489016529069867,0.3372918449748646,0.0001841695085951271,0.21034776492552323,0.0003437467739156443,0.02070337705470126,0,0.6507482173460796,0.0052249411691772775,0,3.372121873880683,0
0021,0.012763387034715445,0.039855554442332616,0.00012435479800049405,0.47900563670742896,2.232321496184786e-05,0.27322861359965417,0.00013324919310053445,0.013909521039297606,0,0.8834694570162681,0.003781794492465319,0,4.787372011649624,0
0022,0.008033666570034213,0.0240725754593447,0.00038593484170942,0.4400984068539393,7.176364999832388e-05,0.3113887981952593,0.00013978573147499827,0.0812487613405186,0,0.7884295452232271,0.005314321038099285,0,4.399565535468696,0
0023,0.05739696941892123,0.0240840335647392,0.00038551369218047297,0.6264943918599511,0.0006312122273733795,0.42381081520687053,0.0009462979732161757,0.03060296331176966,0,1.181031836671889,0.008636175394163783,9,6.246211507239221,9
0024,0.01290003783427752,0.07936973275778471,0.001076307085023419,0.29399827925058514,2.232609862164884e-05,0.1604639830497595,0.00014149807662291932,0.027730390832195643,0,0.5832225387106351,0.0034595849495060314,0,2.9382427032814227,0
0025,0.03727292658194252,0.03511939879607025,0.0004985426846808572,0.5193031903194345,0.00045447333311948593,0.3162689929423125,0.0004985350372175751,0.0346348806121979,0,0.8692823529424024,0.008757671375758936,13,5.155904693633949,13
0026,0.008594842244909234,0.021779540537272914,0.0002656613824692947,0.38510814696958623,7.741383151107584e-05,0.23086533149423666,0.00023251257160955994,0.018018827572956857,0,0.7791666341997735,0.004848032220732141,0,3.8494341699076444,0
0027,0.0544319084900267,0.018246320761200172,0.00015160724060720408,0.6141602688414209,0.00010771165656737248,0.3046305959715563,0.0007840541840770695,0.031200340208996293,0,1.139835134715021,0.007300684908270393,4,6.126624508238104,4
0028,0.022762249697718704,0.03220166624879484,0.0004829322850691457,0.6171925543693074,0.00018499554982672137,0.39510051121837214,0.0003066491248617182,0.038581098745231635,0,1.1915054471043613,0.007750016966538434,0,6.155379218180964,0
0029,0.028391963426481214,0.019296332619425465,0.00024200503351468674,0.5561796371874056,3.631926268425847e-05,0.2957338531289184,0.0004798387262805059,0.028006688197755054,0,1.065290097441908,0.006496819900625746,0,5.553305593068944,0
0030,0.024441622108627912,0.07454654837560862,0.0002664490341714273,0.6246713196712549,0.00020569873340822373,0.34070670269048253,0.0010996322713436846,0.0460009510069521,0,1.0705231203315504,0.006588195638482322,1,6.204415888915198,1
0031,0.020652026696476394,0.028951128711090398,0.0003135960311333772,0.4637440492114621,3.8975890713025776e-05,0.37680373175772364,0.00012697715361666506,0.01518635140942255,0,0.90574936267165,0.004223117883190481,0,4.633737677883005,0
0032,0.023376114666461945,0.07051224768626797,0.00018126268931010123,0.5433454563220342,0.0001218310521457797,0.4091349244117737,5.582424378255032e-05,0.1060653088037212,0,0.9932116662290994,0.005762827263468505,0,5.431069919406079,0
0033,0.018652275590545154,0.016366739958210454,0.0001632278984084974,0.5273295569111152,0.00010929161521565662,0.45356053179241274,0.0001366854847667007,0.017155487806602733,0,1.0574647383744582,0.0043497435912705044,0,5.2650455920657775,0
0034,0.016860730669577606,0.028531854886127528,0.0001443466205581821,0.435031103232177,4.391975404565855e-05,0.3253562354366295,0.00013422966231016784,0.015314712826595762,0,1.0102079631472254,0.003908584379888431,0,4.346846827356377,0
0035,0.0189416324480986,0.08268256052232278,0.0013972286272152885,0.5185121737229519,0.00029812681790533944,0.3887573583767964,0.0004216034207884199,0.2310390076022668,0,0.8541336368168507,0.008825806676525895,8,5.177411522178362,8
0036,0.03816366543735031,0.0663899933467474,0.00041417644481880287,0.6034914626402287,9.1276103945981e-05,0.4311321092057982,0.00010799407798391546,0.06313674130528185,0,1.1653907035569882,0.007830921368823608,9,6.029930906531162,9
0037,0.016461582137988165,0.022489538668390218,0.00030403827955826485,0.25025533840187597,1.589862928600719e-05,0.1649772152941451,3.859797502664977e-05,0.014224818608323406,0,0.5344473950933278,0.0035608889346521633,0,2.5018565789847087,0
0038,0.034443772080924355,0.15955966695239082,0.0014460236448413386,0.4352638980068227,5.453448997941762e-05,0.2939901219473945,0.00017582502524243065,0.01987754484052975,0,0.8910182780228887,0.00503919888431629,3,4.329705101425028,3
0039,0.020445041831919183,0.01669898431781872,0.0001535679594431042,0.4690259540559456,4.826829939326587e-05,0.23809171759563943,0.00031566228324053967,0.02400760598904985,0,0.9196613985938651,0.004917608854238125,0,4.680659369218493,0
0040,0.020585116304335047,0.13212408612689883,0.00030344136489995405,0.5368889013274771,2.633601506708642e-05,0.36647590945978636,3.0119169761111704e-05,0.015178090426613344,0,1.0647668351885018,0.002785499417357516,0,5.365395678562369,0
0041,0.02034467970731699,0.06396447819416667,0.0005701468616309201,0.4907112639238484,7.385131459895204e-05,0.36791904136467884,0.00014305534106102215,0.02085720790172395,0,0.9302969113559892,0.006718030949077658,4,4.898035557511161,4
0042,0.019178798917896492,0.08881268620309456,0.0018083632289202754,0.29569118200254835,0.00022315020180963866,0.17388365145557183,0.000639701820592615,0.025887872203708546,0,0.5688960693762988,0.004587939829671675,7,2.9498303959416248,7
0043,0.031626269441520055,0.0865859471962324,0.0005881802529185068,0.47806804990533536,0.00011225641818997077,0.22811378443182395,0.0006123562154658349,0.038503771533713614,0,0.9889563968850134,0.00702979083496998,13,4.754870754368086,13
0044,0.025448519333153015,0.022678972608207684,0.00019244094244490274,0.4052179417792399,0.00011928641265547051,0.2909359862660147,0.00023481431458443504,0.012201370901574323,0,0.8098513873925207,0.0034149035219773654,0,4.048198686199471,0
0045,0.019177906720314997,0.023528506448822553,0.00020521020074430282,0.6119382242530079,0.00013118222532754366,0.40245445855593276,0.00033036755816249434,0.02240395797220544,0,1.1596838678643562,0.005131021896644362,1,6.109894740944063,1
0046,0.011602258970660547,0.10690404643064175,0.000534053114052024,0.6161539756482647,0.000271156813051086,0.35993318884603437,0.00023453037789260088,0.025431372803699566,0,1.2523097981119125,0.006817676469908917,0,6.158499662053883,0
